Feature,Importance
cp,0.20382721117936708
thalach,0.12949653061212013
ca,0.12442614257212592
thal,0.1236103697856825
oldpeak,0.09546213785137932
exang,0.09442392238438854
age,0.059504306726985465
chol,0.04359413552497832
sex,0.03810442697762617
trestbps,0.03766099020947841
slope,0.030158812810645398
restecg,0.015257123092914139
fbs,0.004473890272308665
